
2025-03-14 at 09:54:58 | INFO | Пользователь Kitty, запустил бота
2025-03-14 at 13:16:09 | INFO | Опублекован анекдот: Поехал Петька в Индию гипнозу учится.Приезжает через год. Василий Иваныч его и спрашивает:- Ну что, Петька, чему тебя там научили, покажи. Вот,  например, видишь там дерево растет? Так вот пусть его  с корнем из земли вырвет.Петька стал пристально смотреть на дерево. Через 5 минутего действително с корнем из земли вырвало.- Молодец, Петька. А теперь видишь, изба стоит? Так вот пусть  оттуда сейчас выскочит голый Котовский с баяном.Петька давай смотреть на избу. 5 минут смотрит, 10, полчаса...Все бесполезно, ничего не происходит.- Нет, Петька, - говорит тогда Василий Иваныч, - плохо тебя  научили, езжай назад и возвращайся через 5 лет.Уехал Петька, через 5 лет возвращется. Встречает егоВасилий Иваныч:- Ну как, подучился? Ну-ка, пусть вон то дерево с корнем вырвет.Петька посмотрел на дерево всего минуту, его тут же с корнемиз земли и вырвало.- А теперь пусть из той избы выбежит голый Котовский с баяном.Петька смотрел час на избу, смотрел два, ничего не происходит.- Плохо, Петька, отправляйся ты назад заново учится.Приезжает Петька опять через 10 лет. Встречает его Василий Иваныч:- Сделай, - говорит, - так, чтобы вон то дерево с корнем из земли  вырвало.Петька только бросил взгляд на дерево, а оно тут же и упало.- А теперь пусть из избы выбежит голый Котовский с баяном.Петька опять стал пристально смотреть на избу. Час смотрит,другой смотрит. Вдруг из избы выскакивает голый Котовскийс батареей и измученным голосом кричит:- Ну нету, нету у меня баяна!!!
2025-03-14 at 13:16:13 | INFO | Опублекован анекдот: Миллионы россиян в ближайшие дни узнают о том, какой вред все эти годы несли их здоровью соки Добрый, Рич и Моя семья...
2025-03-14 at 13:16:16 | INFO | Опублекован анекдот: Послал малого за колой. Он купил кваса и заявил: - Нам в школе говорили, что кола вредная. Вы когда-нибудь пили виски с квасом?
2025-03-14 at 13:16:19 | INFO | Опублекован анекдот: Куришь — укорачиваешь жизнь. Смеёшься — продлеваешь. Кури и смейся. 3 яблока в день — плюс неделя жизни. Жри яблоки — живи долго. Регулярные 2 км пешком в день добавляет 10 лет молодости. На пенсию — молодым, курящим, хохочащим, с изжогой от яблок и мозолями от ходьбы. А если Малышева ещё и правильно какать научила — ты, практически, бессмертен. Жизнь прекрасна!
2025-03-14 at 13:16:22 | INFO | Опублекован анекдот: Неловко, когда приходишь домой вечером, а в интернете ничего нового, потому что все уже посмотрел на работе
2025-03-14 at 13:16:26 | INFO | Опублекован анекдот: Послал малого за колой. Он купил кваса и заявил: - Нам в школе говорили, что кола вредная. Вы когда-нибудь пили виски с квасом?
2025-03-14 at 13:16:29 | INFO | Опублекован анекдот: У женщины есть три возраста: юность, молодость и «как вы хорошо выглядите».
2025-03-14 at 13:16:32 | INFO | Опублекован анекдот: Жена – мужу:- Ты можешь мне не мешать? Я читаю Евангелие.Муж – жене, желая отомстить:- Убийца - Понтий Пилат!
2025-03-14 at 13:16:35 | INFO | Опублекован анекдот: - Какой у вас нарядный город.- Да мы просто голубей свёклой кормим.
2025-03-14 at 13:16:39 | INFO | Опублекован анекдот: В Интернете все как в жизни: глупые не умнеют, а умные глупеют.
2025-03-14 at 13:16:42 | INFO | Опублекован анекдот: Если мужа плохо кормить, он худеет так сильно, что с его пальца сваливается обручальное кольцо.
2025-03-14 at 13:16:45 | INFO | Опублекован анекдот: я проснулся - и это уже неплохое начало дня!)
2025-03-14 at 13:16:48 | INFO | Опублекован анекдот: Из разговора по телефону:- Чем занимаешься, дорогой?- Суп варю из собственноручно собранных утром грибов. На всякий случай знай, что я всегда тебя любил.
2025-03-14 at 13:16:52 | INFO | Опублекован анекдот: Шерлок Холмс прочитал заметку в газете о своей сметри. Звонит Ватсону:-Послушайте, дорогой Ватсон, вы читали сегодняшний выпуск....-О...Холмс, какое горе, какое горе,примите сердечнейшие соболезнования...Я уже и миссис Хадсон сообщил, как она расстроена...Кстати, Холмс, откуда вы звоните?
2025-03-14 at 13:16:55 | INFO | Опублекован анекдот: - Мама прочитала в интернете, что сельдерей полезен.- И что, она теперь его ест?- Нет. Мы все едим.
2025-03-14 at 13:16:58 | INFO | Опублекован анекдот: Прокуратура обнаружила новые сведения по делу Ходорковского.Оказывается у него имеется многолетняя задолженность в школьнойбиблиотеке. Следствие продолжается.
2025-03-14 at 13:17:01 | INFO | Опублекован анекдот: Никогда не говори "никогда"! У жизни прекрасное чувство юмора.
2025-03-14 at 13:17:05 | INFO | Опублекован анекдот: Среди моих друзей нет лодырей и бездельников. Захожу в "Одноклассники" - вижу, что все находятся на рабочих местах...
2025-03-14 at 13:17:08 | INFO | Опублекован анекдот: - А как узнать, сколько мужчин было до меня у моей невесты? - Переспи с её подругой!
2025-03-14 at 13:17:11 | INFO | Опублекован анекдот: Лучший уход за кожей — это уход с работы.
2025-03-14 at 13:17:15 | INFO | Опублекован анекдот: - Доктор, а эта операция точно даст какой-то результат?!- Разумеется! Какой-то - точно даст!
2025-03-14 at 13:17:18 | INFO | Опублекован анекдот: - Сёма, ты не знаешь, сколько людей погибло в США от урагана "Сэнди"? - Судя по новостям наших телеканалов, практически все.
2025-03-14 at 13:17:19 | INFO | Бот остановлен
2025-03-14 at 13:17:28 | INFO | Опублекован анекдот: - Может стоит купить штаны на размер меньше? Если все пойдет по плану, через месяц я в них влезу! - Не советую. У меня дома полный шкаф такого самообмана.
2025-03-14 at 13:20:29 | INFO | Опублекован анекдот: Штирлиц шел по красной ковровой дорожке, по бокам стояли люди ивнимательно рассматривали его. "Инаугурация", - подумал Штирлиц.
2025-03-14 at 13:23:29 | INFO | Опублекован анекдот: - Подскажите, пожалуйста, электронный адрес премьера Украины...- Записывайте... Яценюк собака Украины точка нет...
2025-03-14 at 13:26:30 | INFO | Опублекован анекдот: - С одного акра конопли можно можно произвести больше бумаги, чем с 3-4-х гектаров леса. При этом конопляная бумага не требует отбеливания, не желтеет, она прочнее и долговечней бумаги из древесины. - У меня друг ментам то же самое говорил, всё равно посадили.
2025-03-14 at 13:29:30 | INFO | Опублекован анекдот: Из-за арестов в Минобороны молодёжь боится идти служить на генеральские должности!
2025-03-14 at 13:32:30 | INFO | Опублекован анекдот: Компания в гостинице играет в карты и рассказываетанекдоты. Петров говорит:- Зря вы здесь болтаете. Микрофон может быть спрятан  даже в пепельнице.Все посмеялись. Тогда Петров вышел в коридор и попросилгорничную ровно через десять минут принести три чашечки кофе.Вернувшись, он взял в руки пепельницу и сказал в нее:- Товарищ майор! Прошу через пять минут три чашечки кофе.Через пять минут кофе подан. Потрясенные рассказчикиложатся спать. Утром шутник посыпается от того, что люди вштатском уводят соседей. Последний задерживается и жмет ему руку:- Спасибо за содействие, товарищ Петров. Особенно майору  понравилась ваша шутка с кофе.
2025-03-14 at 13:35:31 | INFO | Опублекован анекдот: У вас никогда не будет второго шанса произвести первое впечатление.
2025-03-14 at 13:38:31 | INFO | Опублекован анекдот: Я уже не наступаю, я танцую на этих ё*аных граблях!..
2025-03-14 at 13:40:27 | INFO | Бот остановлен
